cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.63054	0.019014	0.42586	104	0.1	7	100	1	0.8	0.8	1
0.63053	0.01585	0.18182	83	0.2	1	100	1	0.6	0.8	1
0.63051	0.020368	0.36704	250	0.03	2	100	1	0.9	0.7	1
0.63051	0.013152	0.21374	95	0.2	2	100	1	0.8	0.5	1
0.63048	0.017903	0.31942	246	0.1	2	100	1	1	0.5	1
0.63048	0.019054	0.17915	44	0.3	2	100	1	0.9	0.6	1
0.63046	0.016187	0.14231	49	0.5	1	100	1	0.9	0.6	1
0.63046	0.019324	0.1426	37	0.5	1	100	1	0.9	0.8	1
0.63045	0.016764	0.2464	180	0.2	1	100	1	0.9	0.7	1
0.63045	0.015295	0.36265	171	0.1	3	100	1	1	0.8	1
0.63041	0.0092127	0.16772	34	0.4	2	100	1	0.6	0.6	1
0.6304	0.018736	0.26945	232	0.1	1	100	1	1	0.6	1
0.6304	0.01836	0.30109	285	0.2	1	100	1	0.9	0.5	1
0.63039	0.016598	0.17427	42	0.3	2	100	1	0.6	0.6	1
0.63038	0.013018	0.50687	208	0.1	5	100	1	1	0.7	1
0.63037	0.014429	0.12641	22	0.7	1	100	1	0.6	0.5	1
0.63037	0.018272	0.22928	81	0.2	2	100	1	1	0.9	1
0.63036	0.017608	0.1693	27	0.4	2	100	1	0.9	0.7	1
0.63035	0.017087	0.12181	16	0.5	1	100	1	0.8	0.6	1
0.63034	0.012061	0.17277	71	0.5	1	100	1	0.8	0.8	1
0.63033	0.012661	0.13231	28	0.6	1	100	1	0.6	0.6	1
0.63031	0.014953	0.3466	109	0.1	4	100	1	1	0.8	1
0.6303	0.020407	0.16955	83	0.3	1	100	1	1	0.7	1
0.63028	0.020326	0.15393	59	0.5	1	100	1	1	0.7	1
0.63027	0.019271	0.14515	51	0.7	1	100	1	1	0.7	1
0.63026	0.020367	0.19721	62	0.2	2	100	1	0.8	0.7	1
0.6302	0.01786	0.17125	17	0.5	2	100	1	0.7	0.9	1
0.6302	0.019551	0.15487	56	0.5	1	100	1	1	0.9	1
0.6302	0.014459	0.26668	117	0.2	2	100	1	0.8	0.8	1
0.63019	0.014303	0.13924	24	0.6	1	100	1	0.8	0.9	1
0.63017	0.015212	0.18256	84	0.6	1	100	1	0.7	0.7	1
0.63016	0.010195	0.17274	25	0.5	2	100	1	0.7	0.8	1
0.63016	0.018294	0.17613	83	0.3	1	100	1	1	0.9	1
0.63016	0.022789	0.21803	63	0.2	2	100	1	0.7	0.9	1
0.63015	0.019349	0.56107	703	0.03	1	100	1	1	0.5	1
0.63015	0.015885	0.21259	80	0.2	2	100	1	1	0.8	1
0.63012	0.023652	0.15893	59	0.3	1	100	1	0.9	0.8	1
0.63012	0.017789	0.14185	31	0.7	1	100	1	1	0.9	1
0.63012	0.018304	0.15391	64	0.2	1	100	1	0.6	0.5	1
0.63007	0.014534	0.28223	226	0.2	1	100	1	0.7	0.6	1
0.63005	0.021452	0.13023	40	0.5	1	100	1	1	0.5	1
0.63004	0.01966	0.13717	29	0.6	1	100	1	0.9	0.8	1
0.63001	0.016085	0.38092	104	0.1	4	100	1	1	0.9	1
0.63	0.020152	0.63615	749	0.03	1	100	1	1	0.7	1
